Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_302.jpg;0;0;0;0;99.67007;85.5891;-0.0009924284;56.82484;1.411478E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_342.jpg;0;0;0;0;99.67006;85.5891;-0.001297427;56.82484;1.334951E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_385.jpg;0;0.1201711;0;0.01510446;99.67068;85.59003;0.02367965;56.82504;1.243975E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_436.jpg;-2.113197;0;0.2516341;-0.01351943;99.67107;85.59058;0.03765073;56.82122;-0.0004719935
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_478.jpg;-4.684216;0;0.403193;0;99.67109;85.5906;0.03502183;56.82123;-0.0005482853
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_519.jpg;-6.653775;0;0.501671;0;99.67109;85.59061;0.03222654;56.82123;-0.0003363385
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_567.jpg;-6.601795;0;0.6484299;0;99.67109;85.59061;0.0277839;56.82124;-3.938782E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_608.jpg;-3.623208;0;0.7973593;0;99.67109;85.59061;0.02470027;56.82124;0.0001334292
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_651.jpg;-1.16583;0;0.9202282;0;99.67108;85.59062;0.02155585;56.82124;0.0002841824
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_703.jpg;0;0;1;0;99.67108;85.59062;0.01679106;56.82124;0.0004798187
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_751.jpg;0;0;1;0;99.67108;85.59062;0.01362481;56.82124;0.0005950604
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_792.jpg;0;0;1;0;99.67108;85.59062;0.01049788;56.82124;0.0006975721
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_835.jpg;0;0;1;0;99.67108;85.59062;0.007435549;56.82124;0.0007873148
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_877.jpg;0;0;1;0;99.67108;85.59063;0.004461086;56.82124;0.0008647046
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_918.jpg;0;0;1;0;99.67108;85.59063;0.001596011;56.82124;0.0009296385
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_44_959.jpg;0;0;1;0;99.67109;85.59064;-0.001140293;56.82124;0.0009821
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_001.jpg;0;0;1;0;99.6711;85.59064;-0.004966295;56.82124;0.001038153
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_042.jpg;0;0;0;0;99.6711;85.59063;359.9927;56.82124;0.001061056
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_084.jpg;0;0;0;0;99.67109;85.59063;359.9905;56.82124;0.001072164
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_126.jpg;0;0.07632695;0;0;99.67148;85.59122;0.004722835;56.82138;0.001073075
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_168.jpg;0;0.1998734;0;0;99.6716;85.59142;0.007165941;56.81353;0.001091792
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_218.jpg;0;0.3253983;0;0.01763261;99.67207;85.59213;0.0230322;56.79094;0.001126388
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_259.jpg;0;0.47616;0;0.03732019;99.67314;85.59377;0.06204433;56.73851;0.001118301
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_302.jpg;-0.9561043;0.458176;0;0.05124309;99.67509;85.59671;0.1284986;56.72871;0.0005534167
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_342.jpg;-3.515019;0.3302302;0;0.04812117;99.67693;85.59934;0.1873251;56.63563;-0.001369157
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_385.jpg;-5.903276;0.2108174;0;0.08539131;99.67947;85.60287;0.2663354;56.50261;-0.00447018
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_436.jpg;-7.456417;0.0813231;0;0.07671098;99.68213;85.60651;0.3424264;56.28079;359.9925
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_485.jpg;-5.112292;0;0;0.06467297;99.68497;85.61064;0.4043625;55.59303;-0.001252424
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_526.jpg;-2.586796;0;0;0.05327838;99.6863;85.6125;0.4144414;55.19106;0.0008544896
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_568.jpg;-0.1021771;0;0;0.05147419;99.6875;85.61421;0.4166084;55.09093;0.001251985
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_609.jpg;0;0;0;0.05151142;99.68864;85.61585;0.4129371;55.09092;0.001159428
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_653.jpg;0;0;0;0.05151929;99.68973;85.61742;0.4037857;55.09091;0.00110916
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_701.jpg;0;0.1751638;0;0.05933254;99.69168;85.62021;0.3961598;55.11418;0.0008789677
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_743.jpg;0;0.30528;0;0.05901204;99.69334;85.62259;0.4011835;55.05733;0.001164789
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_784.jpg;0;0.4250476;0;0.06047015;99.69489;85.62479;0.3974394;54.94685;0.001775572
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_835.jpg;0;0.5501035;0;0.08181041;99.69703;85.6278;0.4115033;54.89615;0.0006866651
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_885.jpg;0;0.701234;0;0.1165809;99.70142;85.63408;0.4664963;54.96627;-0.0004420426
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_934.jpg;0;0.8521988;0;0.1406431;99.70528;85.63956;0.5257497;54.89005;0.0003458062
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_45_985.jpg;0;1;0;0.1905074;99.71329;85.65091;0.6735864;54.89945;-0.0004774258
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_036.jpg;0;1;0;0.2126904;99.7196;85.65981;0.7869541;54.79967;-0.0002301404
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_085.jpg;0;1;0;0.2744335;99.7313;85.67628;1.000877;54.839;-0.002385808
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_136.jpg;0;1;0;0.3058359;99.73985;85.68846;1.144536;54.95162;-0.0009082229
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_186.jpg;0;1;0;0.3517724;99.75329;85.70735;1.292171;54.88972;-0.0007700595
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_227.jpg;0;1;0;0.3995545;99.76231;85.72013;1.288605;54.8587;-0.00230401
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_268.jpg;0;1;0;0.437489;99.7717;85.73373;1.221343;54.7861;8.713138E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_318.jpg;0;1;0;0.4828677;99.78196;85.74828;1.149919;54.74292;0.0003248196
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_368.jpg;0;1;0;0.5216249;99.79918;85.7725;1.092453;54.67488;0.0004601075
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_418.jpg;0;1;0;0.5586734;99.81186;85.79027;1.08493;54.63796;-3.180877E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_467.jpg;0;1;0;0.5825539;99.83318;85.82013;1.134787;54.65818;-0.0007811158
